review_text,subtheme_sentiments_pred
great choice tyre price smooth ordering fitting booking,"[('fitting booking', 'neutral'), ('great choice tyre price smooth', 'positive')]"
easy order ready get fit quickly issue good price,"[('easy order', 'positive'), ('good price', 'positive')]"
great service great price pick garage carefully,"[('great service great price pick garage', 'positive')]"
price competitive local garage provide great service,"[('price competitive local garage', 'positive'), ('great service', 'positive')]"
easy navigate website send notification appointment important suggest tyre fitter excellent recommend redact suggest fitter merityre bookham future,"[('bookham future', 'neutral'), ('fitter merityre bookham future', 'neutral'), ('tyre fitter excellent recommend redact', 'positive'), ('notification appointment', 'neutral'), ('easy navigate website', 'positive')]"
easily arrange line decent price tyre small extra charge fit home pleasant fitter,"[('line decent price tyre small extra charge fit home pleasant fitter', 'positive')]"
convenient easy way search tyre pick garage time suitable,"[('convenient easy way search tyre pick garage time', 'positive')]"
good price quality tyre,"[('good price quality tyre', 'positive')]"
good service confidence price,"[('good service confidence price', 'positive')]"
simple order convenient fitting sensible price,"[('simple order', 'neutral')]"
ease use mechanic fit tyre helpful,"[('ease', 'positive'), ('mechanic fit tyre', 'positive')]"
easy order easy fit time place suit,"[('easy order', 'positive')]"
happy redact will garage fit   man garage rude   need tyre redacted will go tyre solihull life lane,"[('fit   man garage rude   need', 'negative'), ('tyre solihull life lane', 'neutral'), ('tyre', 'neutral'), ('happy redact', 'positive')]"
competitive price convenient fitting northern ireland,"[('competitive price', 'positive'), ('convenient fitting northern ireland', 'neutral'), ('northern ireland', 'neutral')]"
service price incomparable similar service fitter anymore friendly,"[('service price incomparable similar service fitter', 'neutral')]"
slow fitting,"[('slow fitting', 'neutral')]"
great price selection tyre convenient fitting location,"[('convenient fitting location', 'neutral'), ('great price selection tyre', 'positive')]"
happy quick service price fitting,"[('happy quick service price', 'positive')]"
10 find garage bit difficult find,"[('10', 'neutral'), ('garage bit difficult find', 'negative')]"
good price good service,"[('good price good service', 'positive')]"
good online price convenient   excellent   fitting service sbservice strathaven,"[('good online price convenient   excellent   fitting service sbservice', 'positive')]"
good price easy arrange local fitting,"[('good price easy arrange', 'positive'), ('local fitting', 'neutral')]"
mile well price selection fitting centre method versatile,"[('mile well price selection fitting centre method', 'positive')]"
expensive,[]
good price local fitter,"[('good price local fitter', 'positive')]"
company fit tyre take long time jobalmost not like fact tyre book redacted,"[('company fit tyre', 'positive'), ('long time', 'neutral'), ('fact tyre book', 'neutral')]"
contact change date original date change redact,"[('contact change date original date change redact', 'positive')]"
drop car time state order 30 min later ready drive away simple great job,"[('30 min', 'neutral'), ('simple great job', 'positive'), ('30', 'neutral'), ('drop car time state order', 'negative')]"
know superb service buy tyre redacted,"[('know superb service', 'positive'), ('superb service', 'positive')]"
efficient good value,"[('efficient good value', 'positive')]"
good choice easy use great pricing,"[('good choice', 'positive'), ('great pricing', 'positive')]"
good price range tyre find local garage good time,"[('good price range tyre', 'positive'), ('local garage', 'neutral')]"
hassle free book online take garage saturday collect cheap garage take car,"[('online take garage', 'neutral'), ('hassle free book', 'positive'), ('cheap garage take car', 'neutral'), ('saturday', 'neutral')]"
redact number occasion receive great service good quality product number location approve fitting centre make easy fit work,"[('redact number occasion', 'positive'), ('easy fit work', 'positive'), ('great service good quality product number location', 'positive')]"
process simple tyre buy good price issue fitting take 35 minute arrive depot leave feel long prearrange appointment,"[('35 minute', 'neutral'), ('long prearrange appointment', 'neutral'), ('good price issue', 'positive'), ('simple tyre', 'neutral')]"
excellent service good price lot choice,"[('excellent service good price lot choice', 'positive')]"
easy order choose tyre fitter,"[('tyre fitter', 'neutral'), ('easy order', 'positive')]"
great price great customer experience garage choose fault thing,"[('fault thing', 'negative'), ('great price great customer experience garage', 'positive')]"
excellent service tyre deliver fitter arrangedboth tyre fit car thirty minute good service,"[('arrangedboth tyre', 'neutral'), ('tyre', 'neutral'), ('thirty minute', 'neutral')]"
good price fitting easy arrange,"[('good price fitting easy arrange', 'positive')]"
good service price ' faceless ' company,"[(""good service price ' faceless ' company"", 'positive')]"
website easy use choose garage want complete work,"[('complete work', 'neutral'), ('website easy use choose garage', 'positive')]"
excellent service simple website order system tyre deliver local garage fit timely manner,"[('local garage', 'neutral'), ('excellent service simple website order system tyre', 'positive')]"
great service competitive price,"[('great service competitive price', 'positive')]"
item go miss vehicle time company fit tyre,"[('miss vehicle time company', 'negative'), ('item', 'neutral')]"
miss appointment time tell night,"[('night', 'neutral'), ('miss', 'negative'), ('appointment time', 'neutral')]"
excellent round competitive price team hugely helpful,"[('excellent round competitive price team', 'positive')]"
unbeatable price brilliant way purchase tyre plenty local garage fit themi unable find well deal,"[('fit themi', 'positive'), ('unbeatable price brilliant way purchase', 'positive')]"
excellent service quick   efficient good price,"[('excellent service', 'positive')]"
get tyre want hassle good price,"[('tyre', 'neutral')]"
easy use web site user friendly appointment fitting importantly great price great range tyre,"[('importantly great price great range tyre', 'positive'), ('easy use web site user friendly appointment', 'positive')]"
exactly want great price simple ordering back excellent fitter exactly want,"[('excellent fitter', 'positive'), ('great price simple', 'positive')]"
good choice product website efficient delivery fitting process conjunction local garage,"[('good choice product website efficient delivery fitting process conjunction local garage', 'positive')]"
excellent service good cost saving tyre recommend,"[('excellent service good cost saving tyre', 'positive')]"
pleased excellent price line fit locally like,"[('excellent price line', 'positive')]"
good price arrive time,"[('good price arrive time', 'positive')]"
excellent service good price previously use,"[('excellent service good price', 'positive')]"
new tyre ease purchase garage professional courteous,"[('new tyre', 'neutral')]"
affordable good online tyre datum info negative comment want book home service book slot pm,"[('book home service book slot pm', 'neutral'), ('affordable good online tyre datum info negative comment', 'negative')]"
nice easy website nice simple use local garage fit time choose issue problem service,"[('issue problem service', 'negative'), ('nice easy website nice simple use', 'positive'), ('fit time', 'positive'), ('local garage', 'neutral')]"
wait purchase new tyre book appointment fitting straightforward disappointed having booking wait nearly 2 hour garage actual fitting take 20 min top,"[('nearly 2 hour garage', 'neutral'), ('nearly 2 hour', 'neutral'), ('20 min top', 'positive'), ('20', 'neutral'), ('new tyre book appointment', 'neutral'), ('booking', 'neutral')]"
think definitely worth satisfied redact authorise fitting firm shawfix good systemefficient great value money highly recommend company glad friend recommend,"[('great value money', 'positive'), ('satisfied redact', 'positive'), ('company glad friend', 'positive'), ('fitting firm shawfix good systemefficient', 'positive')]"
easy use faultless start finish,"[('easy use', 'positive'), ('faultless start finish', 'positive')]"
expect fitter at local garage service finger mark inner roof lining not sure,"[('local garage service finger', 'neutral'), ('fitter', 'neutral'), ('inner roof', 'neutral')]"
tyre purchase fitting tyre fit car locally great pricekept inform fitting date time throughoutall fuss free pleasurable experience definitely use,"[('tyre purchase fitting tyre fit car', 'positive'), ('fitting date time throughoutall fuss free pleasurable experience', 'positive')]"
friendly professional thank speedy painless turnaround definitely,"[('friendly professional thank speedy painless turnaround', 'positive')]"
great garage great tyre great service,"[('great garage', 'positive'), ('great tyre great service', 'positive')]"
quick easy service order tyre fitting,"[('quick easy service order tyre fitting', 'positive'), ('quick easy service', 'positive')]"
good competitive price fit bang time slot,"[('good competitive price fit bang time slot', 'positive')]"
great service easy order class fitting service,"[('great service easy order class fitting service', 'positive')]"
busy garage busy garage appointment pleased work,"[('busy garage busy garage appointment', 'neutral'), ('work', 'neutral')]"
easy pick tyre want great price select garage time suit,"[('great price select garage time suit', 'positive'), ('easy pick tyre', 'positive')]"
excellent service simple system process recommend definitely use,"[('excellent service simple system process', 'positive')]"
great service easy use website staff local dealer   oak tree garagedarlington road dl6 2pa   polite helpful informative overall brilliant experience definitely use,"[('2pa', 'neutral'), ('oak tree garagedarlington road dl6 2pa   polite helpful informative overall brilliant experience', 'positive'), ('great service', 'positive'), ('easy use website staff local dealer', 'positive')]"
new tyre quick delivery fitting centre quick efficient def use redact garage,"[('new tyre', 'neutral'), ('new tyre quick delivery fitting centre quick efficient def use redact garage', 'positive')]"
professional helpful staffstrongly recommend slightly problem garage date select convenient garage availability date hour fit tyre car15 minute later receive email redacted say nominated garage fully book day   book show different time day   garagess deta basis date redact system thank redact staff resolve problem quickly,"[('book day   book', 'neutral'), ('minute later', 'neutral'), ('day', 'neutral'), ('nominated garage', 'neutral'), ('different time day   garagess deta basis date redact system thank redact staff resolve problem', 'positive')]"
use ease order line choice garage good price please service round,"[('ease order line choice garage good price', 'positive'), ('please service', 'positive')]"
excellent service price great fitting include price hidden cost fast great service recommend,"[('excellent service price great fitting include price hidden cost fast great service', 'positive')]"
easy use garage great crticism redact say slot morning check actualy mean say anytime 830 1130 book fitting get appointment time 830 flexibility enquiry mention garage tell tell time slot redact clear,"[('time slot redact', 'neutral'), ('slot morning check actualy mean', 'neutral'), ('anytime 830 1130 book fitting', 'neutral'), ('easy use garage great crticism redact', 'positive'), ('830 1130', 'neutral'), ('830', 'neutral'), ('morning', 'neutral')]"
seamless hasslefree experience seamless delivery fitting payment good price like able select tyre want advance good range suit budget able schedule timeday suit handy,"[('able select tyre', 'neutral'), ('able schedule', 'neutral'), ('seamless hasslefree experience seamless delivery fitting payment good price', 'positive')]"
easy use great saving previous quote faultless start finish,"[('easy use', 'positive'), ('great saving', 'positive')]"
issue tyre fitting garage redact easy cost effective service,"[('issue tyre fitting garage redact easy cost effective service', 'positive')]"
process slick price competitive rating nearby fitter helpful choose use redact number year let,"[('process slick price competitive rating', 'positive')]"
get high end tyre awesome price definitely use,"[('high end tyre', 'neutral'), ('awesome price', 'positive')]"
friendly service advicevery good price redact,"[('friendly service advicevery good price redact', 'positive')]"
great service nice easy way choose tyre budget,"[('tyre budget', 'neutral'), ('great service', 'positive')]"
problem order online quick easy process good choice book slot pit stop convenient take guy long expect change tyre tired long busy day friendly nice guy thank job definitely use cathy,"[('convenient take guy', 'neutral'), ('online quick easy process good choice book slot pit', 'positive'), ('change tyre', 'neutral'), ('problem order', 'negative')]"
company will not leave deflate easy peasy way buy decent reasonably price tyre ability pick fitting timeif require suit need year problem,"[('decent reasonably price tyre ability', 'positive'), ('year', 'neutral'), ('fitting timeif', 'neutral'), ('year problem', 'negative'), ('company', 'neutral'), ('require suit', 'neutral'), ('deflate easy peasy way', 'positive')]"
reliable fast reliable excellent price,"[('reliable fast reliable excellent price', 'positive')]"
great service redacted website offer great price tyre deliver local fitter promptly   promise fitter m d tyre   exhaust centre gorse lane industrial estate clacton friendly thorough happy recommend service,"[('great price tyre', 'positive'), ('clacton', 'neutral'), ('local fitter', 'neutral'), ('great service redacted website', 'positive')]"
happy book reason give average review appointment change twice arrangement place change,"[('average review appointment change', 'neutral'), ('happy book reason', 'positive')]"
quick easy courteous fair value,"[('quick easy courteous fair value', 'positive')]"
good choice tyre competitive price second time time happy service,"[('good choice tyre competitive price second time time happy service', 'positive'), ('second', 'neutral')]"
tyre ok balance wheel set wrong garage go abroad stop germany set balance possible drive,"[('wrong garage', 'negative'), ('tyre ok balance wheel', 'positive'), ('balance possible drive', 'neutral'), ('germany', 'neutral')]"
great service great price able book garage line time suit,"[('great service great price able book garage line time suit', 'positive')]"
excellent easy navigate web page clear pricing structure   5 star,"[('5 star', 'neutral'), ('excellent easy navigate web page clear pricing structure', 'positive'), ('5', 'neutral')]"
get 4 tyre £ 150 cheap fit local at week recommend,"[('week', 'neutral'), ('150', 'neutral'), ('4 tyre', 'neutral'), ('4', 'neutral')]"
tyre fit ats fault issue at price moan have fit tyre redact state like redact downside redact offer tyre insurance ats buy ats insurance £ 9 tyre think use redact recommend,"[('£ 9 tyre', 'neutral'), ('use redact', 'neutral'), ('tyre fit ats fault issue', 'negative'), ('ats insurance', 'neutral'), ('tyre insurance ats', 'neutral'), ('fit tyre redact state', 'positive'), ('price moan', 'negative')]"
great price fuss,"[('great price fuss', 'positive')]"
good value easy order good local garage fit tyre,"[('good value easy order', 'positive'), ('good local garage fit tyre', 'positive')]"
easy order quick deliver,"[('easy order', 'positive')]"
tyre deliver quickly excellent time slot tyre deliver quickly excellent time fitting provide actual fitting take bit long expect apparently new tyre inflate rim fitter state tyre store badly deliver slightly mis shapen will fit rim properly end attempt pleased tyre problem encounter,"[('new tyre inflate rim fitter state tyre store', 'neutral'), ('attempt', 'neutral'), ('rim', 'neutral'), ('fitting', 'neutral'), ('tyre', 'neutral'), ('quickly excellent time slot tyre', 'positive'), ('quickly excellent time', 'positive'), ('rim fitter state tyre store', 'neutral'), ('slightly mis shapen', 'neutral')]"
thank excellent service value money exceptional service easy navigate website need thank redact,"[('navigate website', 'neutral'), ('excellent service value money exceptional service', 'positive'), ('thank redact', 'positive')]"
good price easy organise buying line easy good range local fitter   choose garage know expect hassle,"[('line', 'neutral'), ('hassle', 'neutral')]"
redact say tin tyre want fit trust local tyre fitter good price,"[('fit trust', 'positive'), ('redact', 'neutral'), ('tin tyre', 'neutral')]"
happy find set need quickly online book fitting suit change time ease garage fit tyre swiftly time save quid,"[('quickly online book fitting suit change time ease garage fit tyre', 'positive'), ('quid', 'neutral'), ('happy find set need', 'positive')]"
good tyre good price,"[('good tyre good price', 'positive')]"
great service great price,"[('great service great price', 'positive')]"
great usual ve purchase redact time time completely different garage good tyre fitter nice friendly job donei not recommend go redact mean cheap,"[('donei', 'neutral'), ('nice friendly job', 'positive'), ('go redact', 'neutral'), ('good tyre fitter', 'positive'), ('completely different garage', 'neutral')]"
great service cheap time service protyre westonsupermare excellent,"[('cheap time service protyre westonsupermare', 'neutral'), ('great service', 'positive')]"
good price good choice fit near time future,"[('time', 'neutral'), ('good price good choice', 'positive')]"
tire order deliver time good price excellent service,"[('tire order', 'neutral'), ('time', 'neutral'), ('good price excellent service', 'positive')]"
good price tyre easy deal,"[('good price tyre easy deal', 'positive')]"
good value wide choice tyre booking easy fitting garage professional,"[('good value', 'positive'), ('wide choice tyre', 'neutral')]"
good value convenient service easy change booking,"[('convenient service', 'neutral')]"
excellent service againshoutout lepson garage great guy excellent swift service,"[('lepson garage', 'neutral')]"
prompt efficient service competitive price,"[('prompt efficient service competitive price', 'positive')]"
good service good tyre right price thankyou,"[('right price thankyou', 'neutral'), ('good service', 'positive'), ('good tyre', 'positive')]"
highly recommend quick convenient efficient good price,"[('quick convenient efficient good price', 'positive')]"
great experience quick change tire get budget one feel like premium one,"[('one', 'neutral'), ('quick change tire', 'neutral'), ('premium', 'neutral'), ('budget', 'neutral'), ('great experience', 'positive')]"
great service come work time quick fault themwill def use,"[('great service', 'positive'), ('quick fault themwill def use', 'negative')]"
ordering booking process straight forward fitting tyre delay hang 45min long expect redacted influence,"[('redacted influence', 'neutral'), ('fitting tyre delay', 'negative'), ('45min', 'neutral'), ('booking process', 'neutral')]"
easy use far cheap great communication,"[('far cheap great communication', 'positive')]"
good service able fit local garage arrange redactedwill use,"[('good service', 'positive')]"
good quality tyre cheap price find internet definitely use,"[('good quality tyre cheap price find internet', 'positive')]"
excellent service prompt efficient replacement 4 tyre home agree time saturday morning,"[('saturday', 'neutral'), ('morning', 'neutral'), ('excellent service prompt efficient replacement 4 tyre home agree time', 'positive'), ('4', 'neutral')]"
great price easy use website ability use local garage fit time redact definately use,"[('great price easy use website ability', 'positive'), ('local garage fit time redact', 'positive')]"
tyre fitting tyre order local at   fault service price,"[('tyre fitting tyre order', 'neutral'), ('fault service price', 'negative')]"
excellent pricing garage trust,"[('excellent pricing garage trust', 'positive')]"
great price service   highly recommend,"[('great price service', 'positive')]"
good service great price tyre fit mckinnon wellington surrey service quick efficient fitter good communicative type chap pleased price fitment tyre,"[('great price tyre fit mckinnon', 'positive'), ('quick efficient fitter good communicative type chap', 'positive'), ('price fitment tyre', 'neutral'), ('wellington', 'neutral')]"
nice idea double check garage equipment turn garage select equipment require change tyre husband end lose day take car 2nd garage clunk sound car   garage look,"[('2nd', 'neutral'), ('car 2nd garage clunk sound car   garage look', 'neutral'), ('nice idea double check garage equipment turn garage select equipment require change tyre husband', 'positive')]"
easy use website local friendly fitting station quality product right price,"[('right price', 'neutral'), ('local friendly fitting station quality product', 'positive'), ('easy use website', 'positive')]"
consistently good blackheath tyre cope busy morning quality tyre fit expertly time use redact,"[('consistently good blackheath tyre', 'positive'), ('expertly time use redact', 'neutral'), ('tyre', 'neutral')]"
excellent service reliable product realistic price,"[('excellent service reliable product realistic price', 'positive')]"
simple easy use tyre cheap place look tyre fitting simple lot garage pick date time suit,"[('simple easy use tyre cheap place', 'positive'), ('tyre fitting simple lot garage pick date time suit', 'neutral')]"
say good price promptly fit say tin,"[('good price', 'positive')]"
great tyre great price excellent prompt fitting service   s tyre   wheel highly recommend,"[('great tyre great price excellent prompt fitting service   s tyre   wheel', 'positive')]"
easy service find right tire car easily able tyre deliver fast local garage use,"[('fast local garage use', 'neutral'), ('easy service', 'positive'), ('right tire car', 'neutral')]"
excellent service friendly staff helpful,"[('excellent service friendly staff', 'positive')]"
great service fantastic price pleased use redact tyre,"[('great service fantastic price pleased use redact tyre', 'positive')]"
good service value good value mistake recognise contact sort great service mcconnachie sighthill edinburgh fit tyre,"[('good service value good value mistake recognise contact sort great service mcconnachie sighthill edinburgh fit tyre', 'positive')]"
home fit avon tyre avon tyre fit home new ford ecosport easy order thing manually select tyre size auto pick list licence choose 16 inch rim wrong tyre good check number locate wall tyre fineanyway second time chris fit tyre great service quality price not leave home tyre big improvement car noise level well brake corner weather thank chris redact,"[('new ford ecosport easy order thing', 'positive'), ('second', 'neutral'), ('16 inch', 'neutral'), ('16 inch rim wrong tyre good check number locate wall tyre fineanyway', 'neutral'), ('tyre big improvement car noise level well brake corner weather', 'positive'), ('chris fit tyre great service quality price', 'positive'), ('avon tyre avon tyre fit home', 'positive'), ('chris', 'neutral'), ('ford', 'neutral')]"
easy order good communication excellent price deliver time use,"[('easy order good communication excellent price deliver time use', 'positive')]"
quality great price great service,"[('quality great price great service', 'positive')]"
online good value money tyre good time tell good value,"[('good value', 'positive')]"
happy process good selection price garage quick efficient,"[('happy process good selection price garage', 'positive')]"
easy use website save £ 100 2 tyre simple decision,"[('100', 'neutral'), ('easy use website', 'positive'), ('£ 100 2 tyre simple decision', 'neutral')]"
quick easy site use information readily available digging small print rating etc choose mobile fitment meet convenient carpark near work change tyre 20 minute,"[('information', 'neutral'), ('work change', 'neutral'), ('mobile fitment', 'neutral'), ('convenient carpark', 'neutral'), ('quick easy site', 'positive'), ('20 minute', 'neutral')]"
easy website great price choice fitting date good communication,"[('easy website', 'positive'), ('good communication', 'positive'), ('great price choice fitting date', 'positive')]"
good value money,"[('good value money', 'positive')]"
near perfect combination competitive price couple excellent service fitter,"[('perfect combination competitive price couple', 'positive'), ('excellent service fitter', 'positive')]"
good price tyre excellent fitting local firm bathwick tyre,"[('good price tyre excellent fitting local firm bathwick tyre', 'positive')]"
time   polite efficient highly recommend,[]
redact recommend family member good experience happy,"[('family member good experience', 'positive'), ('redact', 'neutral')]"
fast efficient service great price,"[('fast efficient service great price', 'positive')]"
easy cheap great garage,"[('easy cheap great garage', 'positive')]"
good selection good price like way compare option provide like tyre performance,"[('good selection good price', 'positive'), ('compare option', 'neutral'), ('way', 'neutral'), ('tyre performance', 'neutral')]"
like value money option simple use,"[('value money option simple use', 'positive')]"
convenient book cheap tyre garage directly simple easy process start finish,"[('directly simple easy process', 'positive'), ('cheap tyre garage', 'neutral'), ('finish', 'neutral'), ('convenient book', 'neutral')]"
good price go smoothly,"[('good price', 'positive')]"
good price exelent service great local fitter,"[('good price exelent service', 'positive'), ('great local fitter', 'positive')]"
easy select tyre want book appointment local garage fit,"[('easy select tyre', 'positive')]"
easy toourchas3 fit good,[]
easy quick simple service christian car incredible,"[('easy quick simple service christian car', 'positive'), ('christian', 'neutral')]"
easy website use good competitive price,"[('easy website', 'positive'), ('good competitive price', 'positive')]"
easy pleasant transaction price,"[('easy pleasant transaction price', 'positive')]"
easy use relatively cheap,[]
good price web convenient service   different time,"[('good price web convenient service', 'positive')]"
good straight forward service good price,"[('good straight forward service good price', 'positive')]"
excellent value great location choice comprehensive website choice experience 2nd time ve guy d,"[('2nd', 'neutral'), ('guy', 'neutral'), ('excellent value great location choice comprehensive website choice experience', 'positive')]"
good choice tyre good price,"[('good choice tyre good price', 'positive')]"
choose 9 garage good job 1 point garage owner bit maybe 10 min late,"[('1 point garage owner bit maybe 10 min', 'neutral'), ('9', 'neutral'), ('10', 'neutral'), ('1', 'neutral'), ('9 garage good job', 'positive')]"
easy process good price,"[('easy process good price', 'positive')]"
local good price friendly service,"[('local good price friendly service', 'positive')]"
good price easy organise,"[('good price easy organise', 'positive')]"
great service local garage great price redact,"[('great service local garage great price redact', 'positive')]"
locally fit tyre great backup need,"[('locally fit tyre great backup need', 'positive')]"
redact range tyre great good price fit redacted tyre fitting place quick efficient,"[('tyre fitting place', 'neutral'), ('redact range tyre great good price fit', 'positive')]"
good service appoint 1500 hour vehicle workshop till 1520,"[('1500 hour vehicle workshop', 'neutral'), ('good service', 'positive'), ('1520', 'neutral'), ('1500 hour', 'neutral')]"
price good facility good timing good failure torque wheel invite drive   good unease drive road turn fear loose wheel fitter offer £ 5 inconvenience good failure use lock nut adapter properly destroy leave way remove replace wheel   good order new adapter good see week later   good,"[('good failure torque wheel invite', 'positive'), ('£ 5 inconvenience good failure use lock nut adapter', 'negative'), ('price good facility', 'positive'), ('good unease drive road turn', 'positive'), ('wheel   good order', 'positive'), ('5', 'neutral'), ('week later', 'neutral'), ('leave way', 'negative')]"
cos garage bm enterprise excellent professional lovely people,"[('cos garage bm enterprise excellent professional lovely people', 'positive')]"
good price easy use website lot garage choose fit,"[('good price easy use website lot garage', 'positive'), ('fit', 'positive')]"
website easy use   quick convenient fitting arrangement tyre fit drive courteous technician double quick time,"[('quick convenient fitting arrangement', 'neutral'), ('website', 'neutral')]"
easy quick good price local fitter,"[('easy quick good price local fitter', 'positive')]"
cheap use at direct,"[('cheap use', 'neutral')]"
easy access good price good service,"[('easy access good price good service', 'positive')]"
web site easy use excellent service respect delivery tyre fitting price reasonable premium tyre,"[('web site', 'neutral'), ('excellent service respect delivery tyre fitting price reasonable premium tyre', 'positive')]"
price tyre option ability fit locally reliably,"[('price tyre option ability', 'positive')]"
good range price easy use,"[('good range price easy use', 'positive')]"
ve redact previously time tyre purchase fit car time service work seamlessly efficiently previous occasion need contact cs dept rapidly properly serve helpful professional friendly uk agent lot company potentially sell tyre online redactedcom uk national fitting service option fully cover time purchase tyre redactedcom order fitting service ats euromaster branch knutsford incidentally friendly guy mark   andy excellent bang time fact redactedcom deliver exactly tyre order online choose fitting depot arrive fitting great short work fuss issue plus importantly redacted price competitive online offline fitting element tick box imho miss redactedcom ats euromaster   individually collectively brilliant,"[('exactly tyre order', 'neutral'), ('tyre online redactedcom uk national fitting service option', 'neutral'), ('seamlessly efficiently previous occasion', 'positive'), ('importantly redacted price competitive online offline fitting element tick box imho miss redactedcom ats euromaster', 'positive'), ('ats euromaster branch knutsford incidentally friendly guy mark   andy excellent bang time fact redactedcom', 'positive'), ('fitting depot arrive fitting great short work fuss issue', 'positive'), ('redactedcom', 'neutral'), ('contact cs dept', 'neutral'), ('tyre', 'neutral'), ('time purchase tyre redactedcom order fitting service', 'neutral'), ('helpful professional friendly uk agent lot company', 'positive'), ('andy', 'neutral')]"
good price   good service   good fitter,"[('good service', 'positive')]"
site easy use good choice garage use area,"[('site easy use good choice garage use area', 'positive')]"
great service good price tyre,"[('great service good price tyre', 'positive')]"
easy use website choice garage,"[('easy use website choice garage', 'positive')]"
price reasonable selection easy convenient deliver fit nearby,"[('price reasonable selection', 'neutral')]"
